Time: Sun, 07 Jun 2020 15:36:52 GMT
Connecting to host 192.168.53.100, port 5203
	Subflow 5:
		 ip src: 10.54.0.20 src port: 49855
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 4:
		 ip src: 10.53.0.20 src port: 45564
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 3:
		 ip src: 10.0.2.15 src port: 52042
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 2:
		 ip src: 192.168.54.10 src port: 59864
		 ip dst: 192.168.53.100 dst port: 5203
	Subflow 1:
		 ip src: 192.168.53.10 src port: 33426
		 ip dst: 192.168.53.100 dst port: 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  2]  30.03-31.03  sec   141 KBytes  1.15 Mbits/sec    0   72.5 KBytes       
[  1]  30.03-31.03  sec   131 KBytes  1.07 Mbits/sec    1   48.8 KBytes       
[  2]  31.03-32.03  sec   178 KBytes  1.46 Mbits/sec    4   55.8 KBytes       
[  1]  31.03-32.03  sec   141 KBytes  1.15 Mbits/sec    0   55.8 KBytes       
[  2]  32.03-33.03  sec   166 KBytes  1.36 Mbits/sec    0   68.3 KBytes       
[  1]  32.03-33.03  sec   127 KBytes  1.04 Mbits/sec    1   58.6 KBytes       
[  2]  33.03-34.03  sec   127 KBytes  1.04 Mbits/sec    2   62.8 KBytes       
[  1]  33.03-34.03  sec   151 KBytes  1.23 Mbits/sec    0   51.6 KBytes       
[  2]  34.03-35.03  sec   198 KBytes  1.62 Mbits/sec    0   58.6 KBytes       
[  1]  34.03-35.03  sec   149 KBytes  1.22 Mbits/sec    0   58.6 KBytes       
[  2]  35.03-36.03  sec   170 KBytes  1.39 Mbits/sec    0   62.8 KBytes       
[  1]  35.03-36.03  sec   139 KBytes  1.14 Mbits/sec    0   61.4 KBytes       
[  2]  36.03-37.03  sec   151 KBytes  1.23 Mbits/sec    0   62.8 KBytes       
