Time: Sun, 07 Jun 2020 16:05:09 GMT
Connecting to host 192.168.53.100, port 5201
	Subflow 3:
		 ip src: 10.0.2.15 src port: 49100
		 ip dst: 192.168.53.100 dst port: 5201
	Subflow 2:
		 ip src: 192.168.54.10 src port: 57120
		 ip dst: 192.168.53.100 dst port: 5201
	Subflow 1:
		 ip src: 192.168.53.10 src port: 57890
		 ip dst: 192.168.53.100 dst port: 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  2]  32.01-33.01  sec   120 KBytes   983 Kbits/sec    0   61.4 KBytes       
[  1]  32.01-33.01  sec   126 KBytes  1.03 Mbits/sec    0   48.8 KBytes       
[  2]  33.01-34.01  sec   156 KBytes  1.28 Mbits/sec    0   65.5 KBytes       
[  1]  33.01-34.01  sec   124 KBytes  1.02 Mbits/sec    0   50.2 KBytes       
[  2]  34.01-35.01  sec   156 KBytes  1.28 Mbits/sec    0   65.5 KBytes       
[  1]  34.01-35.01  sec   128 KBytes  1.05 Mbits/sec    0   54.4 KBytes       
[  2]  35.01-36.01  sec   180 KBytes  1.47 Mbits/sec    0   65.5 KBytes       
[  1]  35.01-36.01  sec   131 KBytes  1.07 Mbits/sec    1   61.4 KBytes       
[  2]  36.01-37.01  sec   167 KBytes  1.37 Mbits/sec    0   69.7 KBytes       
[  1]  36.01-37.01  sec   134 KBytes  1.10 Mbits/sec    5   34.9 KBytes       
[  2]  37.01-38.01  sec   178 KBytes  1.46 Mbits/sec    0   79.5 KBytes       
[  1]  37.01-38.01  sec   116 KBytes   949 Kbits/sec    0   36.3 KBytes       
[  2]  38.01-39.01  sec   169 KBytes  1.38 Mbits/sec    5   61.4 KBytes       
[  1]  38.01-39.01  sec   106 KBytes   867 Kbits/sec    0   37.7 KBytes       
[  2]  39.01-40.01  sec   162 KBytes  1.33 Mbits/sec    0   72.5 KBytes       
[  1]  39.01-40.01  sec   114 KBytes   937 Kbits/sec    0   37.7 KBytes       
[  2]  40.01-41.01  sec   151 KBytes  1.23 Mbits/sec    5   53.0 KBytes       
[  1]  40.01-41.01  sec   114 KBytes   937 Kbits/sec    0   40.4 KBytes       
[  2]  41.01-42.01  sec   145 KBytes  1.19 Mbits/sec    0   60.0 KBytes       
[  1]  41.01-42.01  sec   114 KBytes   937 Kbits/sec    0   46.0 KBytes       
[  2]  42.01-43.01  sec   138 KBytes  1.13 Mbits/sec    1   60.0 KBytes       
[  1]  42.01-43.01  sec   105 KBytes   857 Kbits/sec    2   55.8 KBytes       
[  2]  43.01-44.01  sec   130 KBytes  1.06 Mbits/sec    2   50.2 KBytes       
[  1]  43.01-44.01  sec   120 KBytes   982 Kbits/sec    3   44.6 KBytes       
[  2]  44.01-45.01  sec   132 KBytes  1.09 Mbits/sec    0   58.6 KBytes       
[  1]  44.01-45.01  sec   105 KBytes   857 Kbits/sec    1   48.8 KBytes       
[  2]  45.01-46.01  sec  82.3 KBytes   674 Kbits/sec    3   41.8 KBytes       
[  1]  45.01-46.01  sec   121 KBytes   993 Kbits/sec    3   39.0 KBytes       
[  2]  46.01-47.01  sec   180 KBytes  1.47 Mbits/sec    0   48.8 KBytes       
[  1]  46.01-47.01  sec   110 KBytes   903 Kbits/sec    0   43.2 KBytes       
[  2]  47.01-48.01  sec   131 KBytes  1.07 Mbits/sec    0   51.6 KBytes       
[  1]  47.01-48.01  sec   110 KBytes   902 Kbits/sec    0   44.6 KBytes       
[  2]  48.01-49.01  sec   126 KBytes  1.03 Mbits/sec    0   51.6 KBytes       
[  1]  48.01-49.01  sec   112 KBytes   914 Kbits/sec    0   44.6 KBytes       
[  2]  49.01-50.01  sec   130 KBytes  1.06 Mbits/sec    0   53.0 KBytes       
[  1]  49.01-50.01  sec   113 KBytes   925 Kbits/sec    0   47.4 KBytes       
[  2]  50.01-51.01  sec   102 KBytes   833 Kbits/sec    2   48.8 KBytes       
[  1]  50.01-51.01  sec   114 KBytes   936 Kbits/sec    0   54.4 KBytes       
[  2]  51.01-52.01  sec   127 KBytes  1.04 Mbits/sec    0   46.0 KBytes       
[  1]  51.01-52.01  sec   119 KBytes   971 Kbits/sec    3   44.6 KBytes       
[  2]  52.01-53.01  sec  96.2 KBytes   789 Kbits/sec    4   34.9 KBytes       
[  1]  52.01-53.01  sec   113 KBytes   926 Kbits/sec    0   51.6 KBytes       
[  2]  53.01-54.01  sec   116 KBytes   949 Kbits/sec    0   39.0 KBytes       
