netannounce: binding socket to local addr
got scheduler:  return = 0 
-----------------------------------------------------------
Server listening on 5202
-----------------------------------------------------------
Server accepts new client
Time: Sun, 07 Jun 2020 15:03:45 GMT
Accepted connection from 192.168.53.10, port 59200
[ ID] Interval           Transfer     Bandwidth
[  1]   0.00-1.00   sec  41.9 KBytes   343 Kbits/sec                  
[  2]   0.00-1.00   sec  97.7 KBytes   799 Kbits/sec                  
[  1]   1.00-2.00   sec  68.3 KBytes   560 Kbits/sec                  
[  2]   1.00-2.00   sec   155 KBytes  1.27 Mbits/sec                  
[  1]   2.00-3.00   sec  79.5 KBytes   651 Kbits/sec                  
[  2]   2.00-3.00   sec   145 KBytes  1.19 Mbits/sec                  
[  1]   3.00-4.00   sec   113 KBytes   925 Kbits/sec                  
[  2]   3.00-4.00   sec  97.6 KBytes   800 Kbits/sec                  
[  1]   4.00-5.00   sec   113 KBytes   925 Kbits/sec                  
[  2]   4.00-5.00   sec   287 KBytes  2.35 Mbits/sec                  
[  1]   5.00-6.00   sec   110 KBytes   902 Kbits/sec                  
[  2]   5.00-6.00   sec   231 KBytes  1.90 Mbits/sec                  
[  1]   6.00-7.00   sec   120 KBytes   982 Kbits/sec                  
[  2]   6.00-7.00   sec   231 KBytes  1.89 Mbits/sec                  
[  1]   7.00-8.00   sec   109 KBytes   892 Kbits/sec                  
[  2]   7.00-8.00   sec   229 KBytes  1.87 Mbits/sec                  
[  1]   8.00-9.00   sec   126 KBytes  1.03 Mbits/sec                  
[  2]   8.00-9.00   sec   233 KBytes  1.91 Mbits/sec                  
[  1]   9.00-10.00  sec   153 KBytes  1.26 Mbits/sec                  
[  2]   9.00-10.00  sec   223 KBytes  1.83 Mbits/sec                  
[  1]  10.00-11.00  sec   124 KBytes  1.02 Mbits/sec                  
[  2]  10.00-11.00  sec   209 KBytes  1.71 Mbits/sec                  
[  1]  11.00-12.00  sec   237 KBytes  1.94 Mbits/sec                  
[  2]  11.00-12.00  sec   236 KBytes  1.93 Mbits/sec                  
[  1]  12.00-13.00  sec   128 KBytes  1.05 Mbits/sec                  
[  2]  12.00-13.00  sec   222 KBytes  1.82 Mbits/sec                  
[  1]  13.00-14.00  sec   220 KBytes  1.80 Mbits/sec                  
[  2]  13.00-14.00  sec   184 KBytes  1.51 Mbits/sec                  
[  1]  14.00-15.00  sec   177 KBytes  1.45 Mbits/sec                  
[  2]  14.00-15.00  sec   282 KBytes  2.31 Mbits/sec                  
[  1]  15.00-16.00  sec   166 KBytes  1.36 Mbits/sec                  
[  2]  15.00-16.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  16.00-17.00  sec   178 KBytes  1.46 Mbits/sec                  
[  2]  16.00-17.00  sec   226 KBytes  1.85 Mbits/sec                  
[  1]  17.00-18.00  sec   158 KBytes  1.29 Mbits/sec                  
[  2]  17.00-18.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  18.00-19.00  sec   173 KBytes  1.42 Mbits/sec                  
[  2]  18.00-19.00  sec   223 KBytes  1.83 Mbits/sec                  
[  1]  19.00-20.00  sec   162 KBytes  1.33 Mbits/sec                  
[  2]  19.00-20.00  sec   237 KBytes  1.94 Mbits/sec                  
[  1]  20.00-21.00  sec   169 KBytes  1.38 Mbits/sec                  
[  2]  20.00-21.00  sec   226 KBytes  1.85 Mbits/sec                  
[  1]  21.00-22.00  sec   163 KBytes  1.34 Mbits/sec                  
[  2]  21.00-22.00  sec   236 KBytes  1.93 Mbits/sec                  
[  1]  22.00-23.00  sec   178 KBytes  1.46 Mbits/sec                  
[  2]  22.00-23.00  sec   220 KBytes  1.80 Mbits/sec                  
[  1]  23.00-24.00  sec   163 KBytes  1.34 Mbits/sec                  
[  2]  23.00-24.00  sec   231 KBytes  1.90 Mbits/sec                  
[  1]  24.00-25.00  sec   173 KBytes  1.42 Mbits/sec                  
[  2]  24.00-25.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  25.00-26.00  sec   178 KBytes  1.46 Mbits/sec                  
[  2]  25.00-26.00  sec   225 KBytes  1.84 Mbits/sec                  
[  1]  26.00-27.00  sec   184 KBytes  1.51 Mbits/sec                  
[  2]  26.00-27.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  27.00-28.00  sec   181 KBytes  1.49 Mbits/sec                  
[  2]  27.00-28.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  28.00-29.00  sec   192 KBytes  1.58 Mbits/sec                  
[  2]  28.00-29.00  sec   231 KBytes  1.90 Mbits/sec                  
[  1]  29.00-30.00  sec   149 KBytes  1.22 Mbits/sec                  
[  2]  29.00-30.00  sec   223 KBytes  1.83 Mbits/sec                  
[  1]  30.00-31.00  sec   231 KBytes  1.90 Mbits/sec                  
[  2]  30.00-31.00  sec   173 KBytes  1.42 Mbits/sec                  
[  1]  31.00-32.00  sec   188 KBytes  1.54 Mbits/sec                  
[  2]  31.00-32.00  sec   291 KBytes  2.39 Mbits/sec                  
[  1]  32.00-33.00  sec   184 KBytes  1.51 Mbits/sec                  
[  2]  32.00-33.00  sec   230 KBytes  1.88 Mbits/sec                  
[  1]  33.00-34.00  sec   178 KBytes  1.46 Mbits/sec                  
[  2]  33.00-34.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  34.00-35.00  sec   167 KBytes  1.37 Mbits/sec                  
[  2]  34.00-35.00  sec   229 KBytes  1.88 Mbits/sec                  
[  1]  35.00-36.00  sec   152 KBytes  1.25 Mbits/sec                  
[  2]  35.00-36.00  sec   222 KBytes  1.82 Mbits/sec                  
[  1]  36.00-37.00  sec   151 KBytes  1.23 Mbits/sec                  
[  2]  36.00-37.00  sec   227 KBytes  1.86 Mbits/sec                  
[  1]  37.00-38.00  sec   135 KBytes  1.11 Mbits/sec                  
[  2]  37.00-38.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  38.00-39.00  sec   172 KBytes  1.41 Mbits/sec                  
[  2]  38.00-39.00  sec   231 KBytes  1.90 Mbits/sec                  
[  1]  39.00-40.00  sec   141 KBytes  1.15 Mbits/sec                  
[  2]  39.00-40.00  sec   231 KBytes  1.90 Mbits/sec                  
[  1]  40.00-41.00  sec   146 KBytes  1.20 Mbits/sec                  
[  2]  40.00-41.00  sec   231 KBytes  1.90 Mbits/sec                  
[  1]  41.00-42.00  sec   142 KBytes  1.17 Mbits/sec                  
[  2]  41.00-42.00  sec   231 KBytes  1.90 Mbits/sec                  
[  1]  42.00-43.00  sec   134 KBytes  1.10 Mbits/sec                  
[  2]  42.00-43.00  sec   226 KBytes  1.85 Mbits/sec                  
[  1]  43.00-44.00  sec   162 KBytes  1.33 Mbits/sec                  
[  2]  43.00-44.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  44.00-45.00  sec   112 KBytes   914 Kbits/sec                  
[  2]  44.00-45.00  sec   227 KBytes  1.86 Mbits/sec                  
[  1]  45.00-46.00  sec   208 KBytes  1.70 Mbits/sec                  
[  2]  45.00-46.00  sec   229 KBytes  1.87 Mbits/sec                  
[  1]  46.00-47.00  sec   160 KBytes  1.31 Mbits/sec                  
[  2]  46.00-47.00  sec   227 KBytes  1.86 Mbits/sec                  
[  1]  47.00-48.00  sec   184 KBytes  1.51 Mbits/sec                  
[  2]  47.00-48.00  sec   233 KBytes  1.91 Mbits/sec                  
[  1]  48.00-49.00  sec   201 KBytes  1.65 Mbits/sec                  
[  2]  48.00-49.00  sec   230 KBytes  1.89 Mbits/sec                  
[  1]  49.00-50.00  sec   197 KBytes  1.61 Mbits/sec                  
[  2]  49.00-50.00  sec   223 KBytes  1.83 Mbits/sec                  
[  1]  50.00-51.00  sec   191 KBytes  1.56 Mbits/sec                  
[  2]  50.00-51.00  sec  83.7 KBytes   685 Kbits/sec                  
[  1]  51.00-52.00  sec  94.8 KBytes   777 Kbits/sec                  
[  2]  51.00-52.00  sec   342 KBytes  2.80 Mbits/sec                  
[  1]  52.00-53.00  sec   236 KBytes  1.93 Mbits/sec                  
[  2]  52.00-53.00  sec   234 KBytes  1.92 Mbits/sec                  
[  1]  53.00-54.00  sec   167 KBytes  1.37 Mbits/sec                  
