netannounce: binding socket to local addr
got scheduler:  return = 0 
-----------------------------------------------------------
Server listening on 5202
-----------------------------------------------------------
Server accepts new client
Time: Sun, 07 Jun 2020 15:50:34 GMT
Accepted connection from 192.168.53.10, port 38052
[ ID] Interval           Transfer     Bandwidth
[  1]  42.00-43.00  sec   134 KBytes  1.10 Mbits/sec                  
[  2]  42.00-43.00  sec   156 KBytes  1.28 Mbits/sec                  
[  1]  43.00-44.00  sec   120 KBytes   983 Kbits/sec                  
[  2]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec                  
[  1]  44.00-45.00  sec   149 KBytes  1.22 Mbits/sec                  
[  2]  44.00-45.00  sec   105 KBytes   857 Kbits/sec                  
[  1]  45.00-46.00  sec   128 KBytes  1.05 Mbits/sec                  
[  2]  45.00-46.00  sec   114 KBytes   937 Kbits/sec                  
[  1]  46.00-47.00  sec   124 KBytes  1.02 Mbits/sec                  
[  2]  46.00-47.00  sec  97.6 KBytes   800 Kbits/sec                  
[  1]  47.00-48.00  sec   128 KBytes  1.05 Mbits/sec                  
[  2]  47.00-48.00  sec   117 KBytes   960 Kbits/sec                  
[  1]  48.00-49.00  sec   127 KBytes  1.04 Mbits/sec                  
[  2]  48.00-49.00  sec   109 KBytes   891 Kbits/sec                  
[  1]  49.00-50.00  sec   116 KBytes   948 Kbits/sec                  
[  2]  49.00-50.00  sec   128 KBytes  1.05 Mbits/sec                  
[  1]  50.00-51.00  sec  65.5 KBytes   537 Kbits/sec                  
[  2]  50.00-51.00  sec  97.6 KBytes   799 Kbits/sec                  
[  1]  51.00-52.00  sec   135 KBytes  1.11 Mbits/sec                  
[  2]  51.00-52.00  sec   121 KBytes   994 Kbits/sec                  
[  1]  52.00-53.00  sec  93.4 KBytes   765 Kbits/sec                  
[  2]  52.00-53.00  sec   123 KBytes  1.01 Mbits/sec                  
[  1]  53.00-54.00  sec  94.8 KBytes   777 Kbits/sec                  
[  2]  53.00-54.00  sec   120 KBytes   982 Kbits/sec                  
[  1]  54.00-55.00  sec   103 KBytes   845 Kbits/sec                  
[  2]  54.00-55.00  sec   117 KBytes   960 Kbits/sec                  
[  1]  55.00-56.00  sec   107 KBytes   880 Kbits/sec                  
[  2]  55.00-56.00  sec   119 KBytes   971 Kbits/sec                  
[  1]  56.00-57.00  sec  60.0 KBytes   491 Kbits/sec                  
[  2]  56.00-57.00  sec   114 KBytes   937 Kbits/sec                  
[  1]  57.00-58.00  sec   132 KBytes  1.09 Mbits/sec                  
[  2]  57.00-58.00  sec   126 KBytes  1.03 Mbits/sec                  
[  1]  58.00-59.00  sec   110 KBytes   903 Kbits/sec                  
[  2]  58.00-59.00  sec   128 KBytes  1.05 Mbits/sec                  
[  1]  59.00-60.00  sec   114 KBytes   937 Kbits/sec                  
[  2]  59.00-60.00  sec   138 KBytes  1.13 Mbits/sec                  
[  1]  60.00-61.00  sec   117 KBytes   960 Kbits/sec                  
[  2]  60.00-61.00  sec   127 KBytes  1.04 Mbits/sec                  
[  1]  61.00-62.00  sec   100 KBytes   822 Kbits/sec                  
[  2]  61.00-62.00  sec   100 KBytes   822 Kbits/sec                  
[  1]  62.00-63.00  sec   117 KBytes   960 Kbits/sec                  
[  2]  62.00-63.00  sec   181 KBytes  1.49 Mbits/sec                  
[  1]  63.00-64.00  sec   127 KBytes  1.04 Mbits/sec                  
[  2]  63.00-64.00  sec   137 KBytes  1.12 Mbits/sec                  
[  1]  64.00-65.00  sec   123 KBytes  1.01 Mbits/sec                  
[  2]  64.00-65.00  sec   142 KBytes  1.17 Mbits/sec                  
[  1]  65.00-66.00  sec  86.5 KBytes   708 Kbits/sec                  
[  2]  65.00-66.00  sec   141 KBytes  1.15 Mbits/sec                  
[  1]  66.00-67.00  sec   163 KBytes  1.34 Mbits/sec                  
[  2]  66.00-67.00  sec   126 KBytes  1.03 Mbits/sec                  
[  1]  67.00-68.00  sec   135 KBytes  1.11 Mbits/sec                  
[  2]  67.00-68.00  sec   139 KBytes  1.14 Mbits/sec                  
[  1]  68.00-69.00  sec   128 KBytes  1.05 Mbits/sec                  
[  2]  68.00-69.00  sec   120 KBytes   982 Kbits/sec                  
[  1]  69.00-70.00  sec   130 KBytes  1.06 Mbits/sec                  
[  2]  69.00-70.00  sec   137 KBytes  1.12 Mbits/sec                  
[  1]  70.00-71.00  sec   127 KBytes  1.04 Mbits/sec                  
[  2]  70.00-71.00  sec   138 KBytes  1.13 Mbits/sec                  
[  1]  71.00-72.00  sec  90.6 KBytes   743 Kbits/sec                  
[  2]  71.00-72.00  sec   172 KBytes  1.41 Mbits/sec                  
[  1]  72.00-73.00  sec   124 KBytes  1.02 Mbits/sec                  
[  2]  72.00-73.00  sec   163 KBytes  1.34 Mbits/sec                  
[  1]  73.00-74.00  sec   110 KBytes   903 Kbits/sec                  
[  2]  73.00-74.00  sec   166 KBytes  1.36 Mbits/sec                  
[  1]  74.00-75.00  sec  94.8 KBytes   777 Kbits/sec                  
[  2]  74.00-75.00  sec   130 KBytes  1.06 Mbits/sec                  
[  1]  75.00-76.00  sec   109 KBytes   891 Kbits/sec                  
[  2]  75.00-76.00  sec   184 KBytes  1.51 Mbits/sec                  
[  1]  76.00-77.00  sec   112 KBytes   913 Kbits/sec                  
[  2]  76.00-77.00  sec   100 KBytes   822 Kbits/sec                  
[  1]  77.00-78.00  sec  66.9 KBytes   549 Kbits/sec                  
[  2]  77.00-78.00  sec   192 KBytes  1.58 Mbits/sec                  
[  1]  78.00-79.00  sec   159 KBytes  1.30 Mbits/sec                  
[  2]  78.00-79.00  sec   134 KBytes  1.10 Mbits/sec                  
[  1]  79.00-80.00  sec   120 KBytes   982 Kbits/sec                  
[  2]  79.00-80.00  sec   109 KBytes   891 Kbits/sec                  
[  1]  80.00-81.00  sec  61.4 KBytes   503 Kbits/sec                  
[  2]  80.00-81.00  sec   141 KBytes  1.15 Mbits/sec                  
[  1]  81.00-82.00  sec   149 KBytes  1.22 Mbits/sec                  
[  2]  81.00-82.00  sec   126 KBytes  1.03 Mbits/sec                  
[  1]  82.00-83.00  sec   113 KBytes   925 Kbits/sec                  
[  2]  82.00-83.00  sec  85.1 KBytes   697 Kbits/sec                  
[  1]  83.00-84.00  sec  66.9 KBytes   548 Kbits/sec                  
[  2]  83.00-84.00  sec   173 KBytes  1.42 Mbits/sec                  
[  1]  84.00-85.00  sec   159 KBytes  1.30 Mbits/sec                  
[  2]  84.00-85.00  sec   127 KBytes  1.04 Mbits/sec                  
[  1]  85.00-86.00  sec   112 KBytes   914 Kbits/sec                  
[  2]  85.00-86.00  sec   138 KBytes  1.13 Mbits/sec                  
[  1]  86.00-87.00  sec   120 KBytes   982 Kbits/sec                  
[  2]  86.00-87.00  sec   126 KBytes  1.03 Mbits/sec                  
[  1]  87.00-88.00  sec   110 KBytes   903 Kbits/sec                  
[  2]  87.00-88.00  sec   128 KBytes  1.05 Mbits/sec                  
[  1]  88.00-89.00  sec   106 KBytes   868 Kbits/sec                  
[  2]  88.00-89.00  sec   121 KBytes   994 Kbits/sec                  
[  1]  89.00-90.00  sec   114 KBytes   937 Kbits/sec                  
[  2]  89.00-90.00  sec  90.6 KBytes   742 Kbits/sec                  
[  1]  90.00-91.00  sec   106 KBytes   868 Kbits/sec                  
[  2]  90.00-91.00  sec   158 KBytes  1.29 Mbits/sec                  
[  1]  91.00-92.00  sec   119 KBytes   972 Kbits/sec                  
[  2]  91.00-92.00  sec   121 KBytes   995 Kbits/sec                  
[  1]  92.00-93.00  sec   117 KBytes   959 Kbits/sec                  
[  2]  92.00-93.00  sec   113 KBytes   925 Kbits/sec                  
[  1]  93.00-94.00  sec   112 KBytes   914 Kbits/sec                  
[  2]  93.00-94.00  sec   117 KBytes   960 Kbits/sec                  
[  1]  94.00-95.00  sec  27.9 KBytes   228 Kbits/sec                  
[  2]  94.00-95.00  sec   119 KBytes   970 Kbits/sec                  
[  1]  95.00-96.00  sec   162 KBytes  1.33 Mbits/sec                  
[  2]  95.00-96.00  sec   113 KBytes   927 Kbits/sec                  
[  1]  96.00-97.00  sec   100 KBytes   823 Kbits/sec                  
[  2]  96.00-97.00  sec   113 KBytes   925 Kbits/sec                  
[  1]  97.00-98.00  sec   124 KBytes  1.02 Mbits/sec                  
[  2]  97.00-98.00  sec   110 KBytes   902 Kbits/sec                  
[  1]  98.00-99.00  sec   107 KBytes   880 Kbits/sec                  
